# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
node1;1;2021-04-26 21:50:44 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:44 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:44 UTC;lo;8.00;8.00;16.50;16.50;0.00;0.00;0.00
node1;1;2021-04-26 21:50:44 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:45 UTC;eth0;25.00;28.00;13.16;19.09;0.00;0.00;0.00
node1;1;2021-04-26 21:50:45 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:45 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:45 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:45 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:45 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:43 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:46 UTC;eth0;33.00;3.00;42.98;0.21;0.00;0.00;0.00
node1;1;2021-04-26 21:50:46 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:46 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:46 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:46 UTC;lo;15.00;15.00;23.24;23.24;0.00;0.00;0.00
node1;1;2021-04-26 21:50:46 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:47 UTC;eth0;28.00;29.00;13.87;20.01;0.00;0.00;0.00
node1;1;2021-04-26 21:50:47 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:47 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:47 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:47 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:47 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:48 UTC;eth0;34.00;3.00;45.26;0.21;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:43 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:48 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:48 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:43 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:44 UTC;eth0;61181.00;39248.00;88297.19;55027.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:44 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:44 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:44 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:44 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:45 UTC;eth0;52074.00;31805.00;75327.10;44255.06;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:45 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:45 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:45 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:45 UTC;lo;3.00;3.00;0.24;0.24;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:46 UTC;eth0;56658.00;25772.00;82817.86;35671.73;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:46 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:48 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:46 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:46 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:46 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:47 UTC;eth0;65720.00;33629.00;95741.90;46428.76;0.00;0.00;0.00
node1;1;2021-04-26 21:50:48 UTC;lo;9.00;9.00;16.45;16.45;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:47 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:47 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:47 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:47 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:48 UTC;eth0;66074.00;36542.00;95751.80;50727.70;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:48 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:48 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:48 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:49 UTC;eth0;30.00;30.00;11.50;19.20;0.00;0.00;0.00
node1;1;2021-04-26 21:50:49 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:49 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:49 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:49 UTC;lo;2.00;2.00;0.30;0.30;0.00;0.00;0.00
node1;1;2021-04-26 21:50:49 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:50 UTC;eth0;7.00;1.00;2.45;0.07;0.00;0.00;0.00
node1;1;2021-04-26 21:50:50 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:48 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:50 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:50 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:50 UTC;lo;9.00;9.00;17.07;17.07;0.00;0.00;0.00
node1;1;2021-04-26 21:50:50 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:51 UTC;eth0;56.00;31.00;54.25;20.15;0.00;0.00;0.00
node1;1;2021-04-26 21:50:51 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:51 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:51 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:51 UTC;lo;6.00;6.00;6.17;6.17;0.00;0.00;0.00
node1;1;2021-04-26 21:50:51 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:52 UTC;eth0;4.00;1.00;2.26;0.07;0.00;0.00;0.00
node1;1;2021-04-26 21:50:52 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:52 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:48 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:52 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:52 UTC;lo;9.00;9.00;16.45;16.45;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:49 UTC;eth0;44743.00;27174.00;64572.07;37777.32;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:49 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
