# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
osd1;1;2021-04-27 06:26:03 UTC;eth0;52101.00;23919.00;75859.06;32426.53;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:03 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:03 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:03 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:03 UTC;lo;3.00;3.00;0.24;0.24;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:04 UTC;eth0;56835.00;34361.00;82345.99;47503.43;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:04 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:04 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:04 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:04 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:05 UTC;eth0;47427.00;23772.00;68863.00;32454.28;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:05 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:05 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:05 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:05 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:06 UTC;eth0;62233.00;31626.00;90373.93;43225.82;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:06 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:06 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:06 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:06 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:07 UTC;eth0;57812.00;29345.00;83929.04;39983.25;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:07 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:07 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:07 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:06 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:06 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:06 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:06 UTC;lo;7.00;7.00;15.25;15.25;0.00;0.00;0.00
node1;1;2021-04-27 06:26:06 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:07 UTC;eth0;27.00;24.00;12.94;15.52;0.00;0.00;0.00
node1;1;2021-04-27 06:26:07 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
node1;1;2021-04-27 06:26:07 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:07 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:07 UTC;lo;6.00;6.00;5.62;5.62;0.00;0.00;0.00
node1;1;2021-04-27 06:26:07 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:08 UTC;eth0;7.00;6.00;0.75;4.28;0.00;0.00;0.00
osd2;1;2021-04-27 06:25:57 UTC;eth0;31.00;36.00;11.60;25.16;0.00;0.00;0.00
node1;1;2021-04-27 06:26:08 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-27 06:25:57 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-27 06:25:57 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:08 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:08 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
