# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
an-sap-s-1;1;2021-04-24 18:45:36 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:36 UTC;eno1;64634.00;3172.00;95062.94;226.28;0.00;0.00;0.00;7.79
an-sap-s-1;1;2021-04-24 18:45:36 UTC;eno3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:37 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:37 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:37 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:51 UTC;eno1;62888.00;4016.00;90080.76;337.25;0.00;0.00;0.00;7.38
an-sap-s-2;1;2021-04-24 18:48:51 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:52 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:52 UTC;eno3;7.00;0.00;1.54;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:48:52 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:52 UTC;eno1;60493.00;3901.00;86646.54;327.00;0.00;0.00;0.00;7.10
an-sap-s-2;1;2021-04-24 18:48:52 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:53 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:53 UTC;eno3;1.00;0.00;0.06;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:53 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:53 UTC;eno1;58241.00;3725.00;83415.25;312.72;0.00;0.00;0.00;6.83
an-sap-s-2;1;2021-04-24 18:48:53 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:54 UTC;eno2;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:54 UTC;eno3;2.00;0.00;0.41;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:48:54 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:54 UTC;eno1;59127.00;3798.00;84693.93;318.64;0.00;0.00;0.00;6.94
an-sap-s-2;1;2021-04-24 18:48:54 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:55 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:55 UTC;eno3;1.00;1.00;0.34;0.34;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:55 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:55 UTC;eno1;42927.00;2734.00;61468.11;229.60;0.00;0.00;0.00;5.04
an-sap-s-2;1;2021-04-24 18:48:55 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:56 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:56 UTC;eno3;4.00;0.00;0.80;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:48:56 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:56 UTC;eno1;45876.00;2938.00;65708.75;246.80;0.00;0.00;0.00;5.38
an-sap-s-2;1;2021-04-24 18:48:56 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:57 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:57 UTC;eno3;3.00;0.00;0.46;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:48:57 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:57 UTC;eno1;51804.00;3308.00;74191.97;277.74;0.00;0.00;0.00;6.08
an-sap-s-2;1;2021-04-24 18:48:57 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:58 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:58 UTC;eno3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:58 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:58 UTC;eno1;53439.00;3395.00;76547.64;285.33;0.00;0.00;0.00;6.27
an-sap-s-2;1;2021-04-24 18:48:58 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:59 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:59 UTC;eno3;4.00;1.00;1.08;0.34;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:59 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:59 UTC;eno1;52688.00;3389.00;75470.63;284.31;0.00;0.00;0.00;6.18
an-sap-s-2;1;2021-04-24 18:48:59 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:00 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:00 UTC;eno3;3.00;0.00;0.74;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:49:00 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:00 UTC;eno1;40627.00;2621.00;58169.41;219.79;0.00;0.00;0.00;4.77
an-sap-s-2;1;2021-04-24 18:49:00 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:01 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:01 UTC;eno3;1.00;1.00;0.34;0.34;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:01 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:01 UTC;eno1;54295.00;3473.00;77760.16;291.55;0.00;0.00;0.00;6.37
an-sap-s-2;1;2021-04-24 18:49:01 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:02 UTC;eno2;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:37 UTC;eno1;44170.00;2163.00;64984.90;153.53;0.00;0.00;0.00;5.32
an-sap-s-2;1;2021-04-24 18:49:02 UTC;eno3;2.00;0.00;0.40;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:49:02 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:37 UTC;eno3;2.00;0.00;0.63;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:02 UTC;eno1;52785.00;3357.00;75605.37;282.12;0.00;0.00;0.00;6.19
an-sap-s-2;1;2021-04-24 18:49:02 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:38 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:03 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:38 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:38 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:38 UTC;eno1;34315.00;1658.00;50484.22;117.75;0.00;0.00;0.00;4.14
an-sap-s-1;1;2021-04-24 18:45:38 UTC;eno3;4.00;0.00;1.03;0.00;0.00;0.00;1.00;0.00
an-sap-s-1;1;2021-04-24 18:45:39 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:39 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:39 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:39 UTC;eno1;56228.00;2722.00;82708.89;193.32;0.00;0.00;0.00;6.78
an-sap-s-1;1;2021-04-24 18:45:39 UTC;eno3;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:40 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:40 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:40 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:40 UTC;eno1;42360.00;2042.00;62300.62;145.03;0.00;0.00;0.00;5.10
an-sap-s-1;1;2021-04-24 18:45:40 UTC;eno3;4.00;0.00;0.99;0.00;0.00;0.00;1.00;0.00
an-sap-s-1;1;2021-04-24 18:45:41 UTC;lo;7.00;7.00;0.65;0.65;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:41 UTC;eno2;2.00;0.00;0.66;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:41 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:41 UTC;eno1;63087.00;3070.00;92800.02;217.95;0.00;0.00;0.00;7.60
an-sap-s-1;1;2021-04-24 18:45:41 UTC;eno3;4.00;0.00;1.26;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:42 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:42 UTC;eno2;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:42 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:03 UTC;eno3;3.00;0.00;0.74;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:42 UTC;eno1;38065.00;1848.00;55969.49;131.31;0.00;0.00;0.00;4.59
an-sap-s-2;1;2021-04-24 18:49:03 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:42 UTC;eno3;1.00;0.00;0.06;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:49:03 UTC;eno1;57203.00;3687.00;81933.85;308.99;0.00;0.00;0.00;6.71
an-sap-s-2;1;2021-04-24 18:49:03 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:43 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:04 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:04 UTC;eno3;3.00;0.00;0.46;0.00;0.00;0.00;1.00;0.00
an-sap-s-1;1;2021-04-24 18:45:43 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:04 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:04 UTC;eno1;52597.00;3378.00;75336.07;283.46;0.00;0.00;0.00;6.17
an-sap-s-1;1;2021-04-24 18:45:43 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:04 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:05 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:43 UTC;eno1;62074.00;3018.00;91303.16;215.41;0.00;0.00;0.00;7.48
an-sap-s-2;1;2021-04-24 18:49:05 UTC;eno3;3.00;0.00;0.74;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:43 UTC;eno3;3.00;0.00;0.74;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:44 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:05 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:44 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:05 UTC;eno1;66787.00;4271.00;95667.71;358.48;0.00;0.00;0.00;7.84
an-sap-s-2;1;2021-04-24 18:49:05 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:44 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:06 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:06 UTC;eno3;1.00;1.00;0.06;0.34;0.00;0.00;1.00;0.00
an-sap-s-1;1;2021-04-24 18:45:44 UTC;eno1;52940.00;2562.00;77875.90;181.84;0.00;0.00;0.00;6.38
an-sap-s-2;1;2021-04-24 18:49:06 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:06 UTC;eno1;48606.00;3100.00;69613.79;260.43;0.00;0.00;0.00;5.70
an-sap-s-1;1;2021-04-24 18:45:44 UTC;eno3;3.00;0.00;0.46;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:49:06 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:07 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:45 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:07 UTC;eno3;2.00;0.00;0.63;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:49:07 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:45 UTC;eno2;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:45 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
