# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
osd1;1;2021-04-26 10:00:10 UTC;703.00;703.00;0.00;258048.00;0.00
osd1;1;2021-04-26 10:00:11 UTC;486.00;480.00;6.00;188416.00;47.00
osd1;1;2021-04-26 10:00:12 UTC;337.00;331.00;6.00;131072.00;180.00
node1;1;2021-04-26 09:58:48 UTC;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:00:13 UTC;369.00;359.00;10.00;139264.00;79.00
osd1;1;2021-04-26 10:00:14 UTC;666.00;658.00;8.00;235520.00;1424.00
osd1;1;2021-04-26 10:00:15 UTC;543.00;537.00;6.00;198656.00;55.00
osd1;1;2021-04-26 10:00:16 UTC;485.00;480.00;5.00;178176.00;31.00
osd1;1;2021-04-26 10:00:17 UTC;367.00;361.00;6.00;141312.00;47.00
osd1;1;2021-04-26 10:00:18 UTC;660.00;660.00;0.00;245760.00;0.00
osd1;1;2021-04-26 10:00:19 UTC;597.00;583.00;14.00;227328.00;1475.00
osd1;1;2021-04-26 10:00:20 UTC;404.00;404.00;0.00;165888.00;0.00
osd1;1;2021-04-26 10:00:21 UTC;436.00;430.00;6.00;172288.00;47.00
osd1;1;2021-04-26 10:00:22 UTC;431.00;425.00;6.00;169728.00;180.00
osd1;1;2021-04-26 10:00:23 UTC;198.00;192.00;6.00;83968.00;47.00
osd1;1;2021-04-26 10:00:24 UTC;197.00;189.00;8.00;81920.00;1296.00
osd1;1;2021-04-26 10:00:25 UTC;6.00;0.00;6.00;0.00;51.00
osd1;1;2021-04-26 10:00:26 UTC;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:00:27 UTC;6.00;0.00;6.00;0.00;47.00
node1;1;2021-04-26 09:58:49 UTC;6.00;0.00;6.00;0.00;47.00
osd1;1;2021-04-26 10:00:28 UTC;12.00;0.00;12.00;0.00;152.00
osd1;1;2021-04-26 10:00:29 UTC;6.00;0.00;6.00;0.00;47.00
osd1;1;2021-04-26 10:00:30 UTC;5.00;0.00;5.00;0.00;1512.00
osd1;1;2021-04-26 10:00:31 UTC;6.00;0.00;6.00;0.00;47.00
osd1;1;2021-04-26 10:00:32 UTC;6.00;0.00;6.00;0.00;180.00
osd1;1;2021-04-26 10:00:33 UTC;11.00;0.00;11.00;0.00;127.00
osd1;1;2021-04-26 10:00:34 UTC;880.00;3.00;877.00;32.00;73791.00
osd1;1;2021-04-26 10:00:35 UTC;909.00;0.00;909.00;0.00;389535.00
osd1;1;2021-04-26 10:00:36 UTC;465.00;0.00;465.00;0.00;175432.00
osd1;1;2021-04-26 10:00:37 UTC;535.00;0.00;535.00;0.00;215035.00
osd1;1;2021-04-26 10:00:38 UTC;626.00;0.00;626.00;0.00;256240.00
osd1;1;2021-04-26 10:00:39 UTC;654.00;0.00;654.00;0.00;248631.00
osd1;1;2021-04-26 10:00:40 UTC;446.00;0.00;446.00;0.00;181960.00
osd1;1;2021-04-26 10:00:41 UTC;495.00;0.00;495.00;0.00;191871.00
osd1;1;2021-04-26 10:00:42 UTC;522.00;1.00;521.00;8.00;214924.00
node1;1;2021-04-26 09:58:50 UTC;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:00:43 UTC;543.00;0.00;543.00;0.00;215136.00
node1;1;2021-04-26 09:58:51 UTC;6.00;0.00;6.00;0.00;47.00
osd1;1;2021-04-26 10:00:44 UTC;530.00;0.00;530.00;0.00;203896.00
osd1;1;2021-04-26 10:00:45 UTC;563.00;0.00;563.00;0.00;218246.00
osd1;1;2021-04-26 10:00:46 UTC;580.00;0.00;580.00;0.00;224856.00
osd1;1;2021-04-26 10:00:47 UTC;488.00;0.00;488.00;0.00;190390.00
node1;1;2021-04-26 09:58:52 UTC;16.00;0.00;16.00;0.00;1471.00
node1;1;2021-04-26 09:58:53 UTC;6.00;0.00;6.00;0.00;56.00
node1;1;2021-04-26 09:58:54 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:55 UTC;6.00;0.00;6.00;0.00;48.00
node1;1;2021-04-26 09:58:56 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:57 UTC;20.00;0.00;20.00;0.00;1550.00
node1;1;2021-04-26 09:58:58 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:59 UTC;6.00;0.00;6.00;0.00;47.00
node1;1;2021-04-26 09:59:00 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:01 UTC;6.00;0.00;6.00;0.00;48.00
node1;1;2021-04-26 09:59:02 UTC;14.00;0.00;14.00;0.00;1437.00
