# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
osd1;1;2021-04-26 09:59:04 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
osd2;1;2021-04-26 09:58:43 UTC;eth0;31.00;21.00;8.66;14.53;0.00;0.00;0.00
# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
osd2;1;2021-04-26 09:58:43 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:43 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:44 UTC;eth0;46454.00;17221.00;67805.85;22854.09;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:44 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:44 UTC;lo;3.00;3.00;0.24;0.24;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:45 UTC;eth0;54833.00;34939.00;79616.63;48592.17;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:45 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:45 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:46 UTC;eth0;64093.00;27112.00;93598.93;36760.01;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:46 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:46 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:47 UTC;eth0;72401.00;34989.00;105422.26;47604.76;0.00;0.00;0.00
node1;1;2021-04-26 09:58:43 UTC;eth0;38.00;28.00;12.63;19.85;0.00;0.00;0.00
node1;1;2021-04-26 09:58:43 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:47 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:43 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:47 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:48 UTC;eth0;56745.00;23307.00;82849.75;31372.35;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:48 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:48 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:49 UTC;eth0;83137.00;32459.00;121540.93;43286.32;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:49 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:49 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:50 UTC;eth0;80687.00;38174.00;117284.26;51883.06;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:50 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:50 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:51 UTC;eth0;54540.00;29001.00;79597.03;39962.74;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:51 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:43 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:43 UTC;lo;8.00;8.00;17.71;17.71;0.00;0.00;0.00
node1;1;2021-04-26 09:58:43 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:44 UTC;eth0;147.00;79.00;114.50;16.89;0.00;0.00;0.00
node1;1;2021-04-26 09:58:44 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:44 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:44 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:51 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:44 UTC;lo;2.00;2.00;0.30;0.30;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:52 UTC;eth0;80395.00;37334.00;117260.41;50854.48;0.00;0.00;0.00
node1;1;2021-04-26 09:58:44 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:45 UTC;eth0;66.00;66.00;19.49;39.83;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:52 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:52 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:53 UTC;eth0;44614.00;28002.00;64565.09;38910.04;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:53 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:53 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:54 UTC;eth0;83463.00;39077.00;121567.31;53016.71;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:54 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:54 UTC;lo;3.00;3.00;0.24;0.24;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:55 UTC;eth0;69619.00;34171.00;101130.26;46484.75;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:55 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:55 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:56 UTC;eth0;66618.00;33266.00;96851.74;45405.12;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:56 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:56 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:57 UTC;eth0;61158.00;27234.00;89279.75;36800.50;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:04 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:57 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:05 UTC;eth0;55107.00;36325.00;79616.77;50711.93;0.00;0.00;0.00
node1;1;2021-04-26 09:58:45 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:05 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:57 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:45 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:45 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:45 UTC;lo;9.00;9.00;16.94;16.94;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:05 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:45 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:46 UTC;eth0;9.00;6.00;1.15;2.33;0.00;0.00;0.00
node1;1;2021-04-26 09:58:46 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:46 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:46 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:46 UTC;lo;2.00;2.00;2.10;2.10;0.00;0.00;0.00
node1;1;2021-04-26 09:58:46 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:47 UTC;eth0;29.00;29.00;13.61;19.92;0.00;0.00;0.00
node1;1;2021-04-26 09:58:47 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:58 UTC;eth0;70800.00;30589.00;103280.83;41112.56;0.00;0.00;0.00
node1;1;2021-04-26 09:58:47 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
